geo_name,geo_sumlevel,geo_id,adult_smoking_2015,adult_smoking_2016,adult_smoking_2017,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017
"Autauga County, AL","county",05000US01001,0.217,0.187,0.174,4.6,5.1,3.6
"Baldwin County, AL","county",05000US01003,0.206,0.186,0.179,4.3,3.8,3.1
"Barbour County, AL","county",05000US01005,0.251,0.214,0.228,,4.5,6.8
"Bibb County, AL","county",05000US01007,0.259,0.21,0.199,7.8,7.4,8.2
"Blount County, AL","county",05000US01009,0.213,0.194,0.21,4.3,3.3,5.7
"Bullock County, AL","county",05000US01011,0.378,0.223,0.228,,,
"Butler County, AL","county",05000US01013,0.305,0.228,0.218,8.2,10.2,13.2
"Calhoun County, AL","county",05000US01015,0.244,0.238,0.203,12,10.8,9.3
"Chambers County, AL","county",05000US01017,0.241,0.208,0.209,9.7,9.9,8.8
"Cherokee County, AL","county",05000US01019,0.244,0.198,0.184,,,6
"Chilton County, AL","county",05000US01021,0.201,0.212,0.201,6.2,7.5,7.2
"Choctaw County, AL","county",05000US01023,0.199,0.19,0.205,,,11.6
"Clarke County, AL","county",05000US01025,0.137,0.212,0.201,7.5,6.4,6.2
"Clay County, AL","county",05000US01027,0.262,0.204,0.191,,,
"Cleburne County, AL","county",05000US01029,0.189,0.185,0.183,,,
"Coffee County, AL","county",05000US01031,0.177,0.193,0.186,3.5,3.2,
"Colbert County, AL","county",05000US01033,0.296,0.185,0.204,5.3,5.2,3.9
"Conecuh County, AL","county",05000US01035,0.229,0.238,0.229,,,
"Coosa County, AL","county",05000US01037,0.3,0.218,0.203,,,
"Covington County, AL","county",05000US01039,0.287,0.199,0.186,,,
"Crenshaw County, AL","county",05000US01041,0.166,0.204,0.19,,,
"Cullman County, AL","county",05000US01043,0.22,0.201,0.18,2.8,3.2,3
"Dale County, AL","county",05000US01045,0.212,0.202,0.191,7.3,7.8,7.7
"Dallas County, AL","county",05000US01047,0.206,0.254,0.227,20.6,24,25.1
"DeKalb County, AL","county",05000US01049,0.18,0.192,0.216,3.3,3.3,5.2
"Elmore County, AL","county",05000US01051,0.214,0.193,0.185,7.8,7.6,6.8
"Escambia County, AL","county",05000US01053,0.209,0.227,0.211,11.4,12,11.3
"Etowah County, AL","county",05000US01055,0.26,0.223,0.192,7.5,7.2,5.8
"Fayette County, AL","county",05000US01057,0.141,0.205,0.198,,,
"Franklin County, AL","county",05000US01059,0.245,0.197,0.202,,,
"Geneva County, AL","county",05000US01061,0.325,0.219,0.215,8.1,9.7,10.1
"Greene County, AL","county",05000US01063,0.181,0.265,0.263,20.8,,
"Hale County, AL","county",05000US01065,,0.218,0.221,13.3,12.1,
"Henry County, AL","county",05000US01067,0.17,0.175,0.18,10.7,12.8,
"Houston County, AL","county",05000US01069,0.184,0.194,0.198,4.3,4.3,4.2
"Jackson County, AL","county",05000US01071,0.221,0.202,0.185,4.2,3.8,3.5
"Jefferson County, AL","county",05000US01073,0.212,0.168,0.194,17,16.1,15
"Lamar County, AL","county",05000US01075,0.261,0.214,0.201,,,
"Lauderdale County, AL","county",05000US01077,0.177,0.189,0.182,6.2,6,5.7
"Lawrence County, AL","county",05000US01079,0.278,0.203,0.203,4.7,4.4,5.5
"Lee County, AL","county",05000US01081,0.183,0.203,0.192,6.5,5.9,6
"Limestone County, AL","county",05000US01083,0.219,0.186,0.18,4.9,3.8,4.1
"Lowndes County, AL","county",05000US01085,0.226,0.231,0.225,23.4,23.3,17
"Macon County, AL","county",05000US01087,0.138,0.235,0.221,31.4,29.8,27.4
"Madison County, AL","county",05000US01089,0.183,0.202,0.169,5.5,6.1,6
"Marengo County, AL","county",05000US01091,0.168,0.22,0.195,,,
"Marion County, AL","county",05000US01093,0.269,0.203,0.193,,,
"Marshall County, AL","county",05000US01095,0.277,0.204,0.19,3.2,3.3,3.3
