Candidate,Date,Location
Donald J. Trump,11-Jul-16,"Virginia Beach, Virginia"
Donald J. Trump,16-Jul-16,"New York City, New York"
Donald J. Trump,21-Jul-16,"Cleveland, Ohio"
Donald J. Trump,27-Jul-16,"Doral, Florida"
Donald J. Trump,5-Aug-16,"Green Bay, Wisconsin"
Donald J. Trump,8-Aug-16,"Detriot, Michigan"
Donald J. Trump,9-Aug-16,"Wilmington, North Carolina"
Donald J. Trump,12-Aug-16,"Erie, Pennsylvania"
Donald J. Trump,15-Aug-16,"Youngstown, Ohio"
Donald J. Trump,16-Aug-16,"West Bend, Wisconsin"
Donald J. Trump,18-Aug-16,"Charlotte, North Carolina"
Donald J. Trump,19-Aug-16,"Dimondale, Michigan"
Donald J. Trump,23-Aug-16," Austin, Texas"
Donald J. Trump,24-Aug-16,"Jackson, Mississippi"
Donald J. Trump,30-Aug-16,"Everett, Washington"
Donald J. Trump,31-Aug-16,"Phoenix, Arizona"
Donald J. Trump,1-Sep-16,"Cincinnati, Ohio"
Donald J. Trump,1-Sep-16,"Wilmington, Ohio"
Donald J. Trump,3-Sep-16,"Detroit, Michigan"
Donald J. Trump,6-Sep-16,"Greenville, North Carolina"
Donald J. Trump,7-Sep-16,"Philadelphia, Pennsylvania"
Donald J. Trump,8-Sep-16,"Cleveland, Ohio"
Donald J. Trump,9-Sep-16,Washington D.C.
Donald J. Trump,9-Sep-16,"Pensacola, Florida"
Donald J. Trump,12-Sep-16,"Asheville, North Carolina"
Donald J. Trump,12-Sep-16,"Baltimore, Maryland"
Donald J. Trump,13-Sep-16,"Aston, Pennsylvania"
Donald J. Trump,13-Sep-16,"Des Moines, Iowa"
Donald J. Trump,14-Sep-16,"Canton, Ohio"
Donald J. Trump,15-Sep-16,"New York City, New York"
Donald J. Trump,16-Sep-16,"Miami, Florida"
Donald J. Trump,17-Sep-16,"Houston, Texas"
Donald J. Trump,20-Sep-16,"High Point, North Carolina"
Donald J. Trump,22-Sep-16,"Chester Township, Pennsylvania"
Donald J. Trump,22-Sep-16,"Pittsburgh, Pennsylvania"
Donald J. Trump,24-Sep-16,"Roanoke, Virginia"
Donald J. Trump,28-Sep-16,"Council Bluffs, Iowa"
Donald J. Trump,28-Sep-16,"Waukesha, Wisconsin"
Donald J. Trump,29-Sep-16,"Bedford, New Hampshire"
Donald J. Trump,30-Sep-16,"Novi, Michigan"
Donald J. Trump,3-Oct-16,"Pueblo, Colorado"
Donald J. Trump,3-Oct-16,"Loveland, Colorado"
Donald J. Trump,4-Oct-16,"Prescott Valley, Arizona"
Donald J. Trump,5-Oct-16,"Henderson, Nevada"
Donald J. Trump,5-Oct-16,"Reno, Nevada"
Donald J. Trump,11-Oct-16,"Panama City, Florida"
Donald J. Trump,12-Oct-16,"Ocala, Florida"
Donald J. Trump,13-Oct-16,"Columbus, Ohio"
Donald J. Trump,13-Oct-16,"West Palm Beach, Florida"
Donald J. Trump,15-Oct-16,"Bangor, Maine"
Donald J. Trump,15-Oct-16,"Portsmouth, New Hampshire"
Donald J. Trump,17-Oct-16,"Green Bay, Wisconsin"
Donald J. Trump,18-Oct-16,"Colorado Springs, Colorado"
Donald J. Trump,20-Oct-16,"Delaware, Ohio"
Donald J. Trump,21-Oct-16,"Fletcher, North Carolina"
Donald J. Trump,21-Oct-16,"Newtown, Pennsylvania"
Donald J. Trump,22-Oct-16,"Gettysburg, Pennsylvania"
Donald J. Trump,23-Oct-16,"Naples, Florida"
Donald J. Trump,26-Oct-16,"Charlotte, North Carolina"
Donald J. Trump,27-Oct-16,"Springfield, Ohio"
Donald J. Trump,28-Oct-16,"Manchester, New Hampshire"
Donald J. Trump,29-Oct-16,"Golden, Colorado"
Donald J. Trump,29-Oct-16,"Phoenix, Arizona"
Donald J. Trump,31-Oct-16,"Warren, Michigan"
Donald J. Trump,1-Nov-16,"Valley Forge, Pennsylvania"
Donald J. Trump,2-Nov-16,"Orlando, Florida"
Donald J. Trump,2-Nov-16,"Miami, Florida"
Donald J. Trump,7-Nov-16,"Raleigh, North Carolina"
Donald J. Trump,9-Nov-16,"New York City, New York"
Hillary Clinton,28-Jul-16,"Philadelphia, Pennsylvania"
Hillary Clinton,15-Sep-16,Washington D.C.
Hillary Clinton,15-Sep-16,"Greensboro, North Carolina"
Hillary Clinton,16-Sep-16,Washington D.C.
Hillary Clinton,18-Sep-16,Washington D.C.
Hillary Clinton,19-Sep-16,"Philadelphia, Pennsylvania"
Hillary Clinton,21-Sep-16,"Orlando, Florida"
Hillary Clinton,27-Sep-16,"Raleigh, North Carolina"
Hillary Clinton,28-Sep-16,"Durham, New Hampshire"
Hillary Clinton,29-Sep-16,"Des Moines, Iowa"
Hillary Clinton,30-Sep-16,"Coral Springs, Florida"
Hillary Clinton,30-Sep-16,"Fort Pierce, Florida"
Hillary Clinton,2-Oct-16,"Charlotte, North Carolina"
Hillary Clinton,3-Oct-16,"Akron, Ohio"
Hillary Clinton,3-Oct-16,"Toledo, Ohio"
Hillary Clinton,10-Oct-16,"Columbus, Ohio"
Hillary Clinton,11-Oct-16,"Miami, Florida"
Hillary Clinton,12-Oct-16,"Pueblo, Colorado"
Hillary Clinton,20-Oct-16,"New York City, New York"
Hillary Clinton,21-Oct-16,"Cleveland, Ohio"
Hillary Clinton,22-Oct-16,"Pittsburgh, Pennsylvania"
Hillary Clinton,22-Oct-16,"Pittsburgh, Pennsylvania"
Hillary Clinton,24-Oct-16,"Manchester, New Hampshire"
Hillary Clinton,25-Oct-16,"Coconut Creek, Florida"
Hillary Clinton,26-Oct-16,"Tampa, Florida"
