year,geo_name,geo,income_below_poverty,pop_poverty_status,income_below_poverty,income_below_poverty_moe,pop_poverty_status,pop_poverty_status_moe
2013,"Allen County, OH",05000US39003,18850,101612,18850,1158,101612,336
2014,"Allen County, OH",05000US39003,18629,101506,18629,1383,101506,446
2015,"Allen County, OH",05000US39003,17713,101412,17713,1322,101412,492
2016,"Allen County, OH",05000US39003,16228,100683,16228,1046,100683,470
2013,"Ashtabula County, OH",05000US39007,18186,97016,18186,1279,97016,390
2014,"Ashtabula County, OH",05000US39007,18357,96528,18357,1329,96528,607
2015,"Ashtabula County, OH",05000US39007,19266,96064,19266,1095,96064,336
2016,"Ashtabula County, OH",05000US39007,18735,95570,18735,1467,95570,371
2013,"Butler County, OH",05000US39017,48678,357457,48678,1814,357457,918
2014,"Butler County, OH",05000US39017,49512,359321,49512,2055,359321,1047
2015,"Butler County, OH",05000US39017,50312,360759,50312,2458,360759,675
2016,"Butler County, OH",05000US39017,49134,361674,49134,2226,361674,566
2013,"Clark County, OH",05000US39023,24958,134284,24958,1351,134284,376
2014,"Clark County, OH",05000US39023,25498,133892,25498,1456,133892,473
2015,"Clark County, OH",05000US39023,24419,133440,24419,1233,133440,423
2016,"Clark County, OH",05000US39023,23792,132847,23792,1401,132847,441
2013,"Clermont County, OH",05000US39025,20014,196344,20014,1528,196344,371
2014,"Clermont County, OH",05000US39025,20766,197374,20766,1529,197374,465
2015,"Clermont County, OH",05000US39025,21127,198241,21127,1539,198241,434
2016,"Clermont County, OH",05000US39025,20968,199067,20968,1612,199067,429
2013,"Columbiana County, OH",05000US39029,17331,102844,17331,1496,102844,400
2014,"Columbiana County, OH",05000US39029,16627,102586,16627,1207,102586,477
2015,"Columbiana County, OH",05000US39029,15730,101934,15730,1214,101934,471
2016,"Columbiana County, OH",05000US39029,15946,101206,15946,1381,101206,417
2013,"Cuyahoga County, OH",05000US39035,228497,1246300,228497,4441,1246300,1115
2014,"Cuyahoga County, OH",05000US39035,230111,1241330,230111,4175,1241330,1237
2015,"Cuyahoga County, OH",05000US39035,231823,1236840,231823,4265,1236840,971
2016,"Cuyahoga County, OH",05000US39035,227740,1232250,227740,4309,1232250,1108
2013,"Delaware County, OH",05000US39041,8570,174984,8570,1068,174984,338
2014,"Delaware County, OH",05000US39041,8751,178707,8751,826,178707,373
